time,open,high,low,close,Kalman
2024-02-04,1.4377,1.5396,1.4231,1.4641,1.2129846227894459
2024-02-05,1.4641,1.6553,1.4316,1.5735,1.2332067996814178
2024-02-06,1.5747,1.6142,1.5076,1.5178,1.2491703185848946
2024-02-07,1.5182,1.5591,1.4838,1.5407,1.2655229214404262
2024-02-08,1.5412,1.5868,1.5,1.5253,1.280094444230266
2024-02-09,1.5262,1.8079,1.5197,1.7625,1.3071537351762603
2024-02-10,1.7627,1.814,1.7,1.7375,1.3312928949519116
2024-02-11,1.7374,1.7987,1.6784,1.6941,1.3516436203848006
2024-02-12,1.6963,1.8309,1.689,1.7621,1.3746671085345692
2024-02-13,1.763,1.8825,1.7288,1.8593,1.4018513361109635
2024-02-14,1.8604,1.973,1.814,1.9081,1.4302480444891166
2024-02-15,1.9081,1.9483,1.8216,1.8651,1.4546399393208997
2024-02-16,1.8651,1.8828,1.75,1.8091,1.474522458906202
2024-02-17,1.8093,1.8152,1.7022,1.7666,1.4909057925322766
2024-02-18,1.7691,1.8166,1.7335,1.7999,1.5082380227698713
2024-02-19,1.8005,1.8334,1.7365,1.7743,1.5231620806821995
2024-02-20,1.7729,1.779,1.6124,1.7183,1.5341078371525843
2024-02-21,1.7171,1.7216,1.6191,1.6941,1.5430821833884172
2024-02-22,1.6942,1.7719,1.6388,1.7176,1.5528713085725525
2024-02-23,1.7174,1.7463,1.5644,1.6013,1.5555877906606952
2024-02-24,1.6012,1.6658,1.5526,1.6396,1.5603002380783055
2024-02-25,1.6388,1.6535,1.6125,1.6452,1.5650624704605987
2024-02-26,1.6452,1.718,1.5791,1.6721,1.5710664636138814
2024-02-27,1.671,1.7054,1.581,1.6155,1.5735588478214242
2024-02-28,1.6137,1.7201,1.37,1.5854,1.574223046602105
2024-02-29,1.5856,1.72,1.5665,1.6801,1.5801619402408766
2024-03-01,1.6819,1.7458,1.6533,1.6915,1.5864071605049288
2024-03-02,1.6908,1.71,1.5891,1.6206,1.5883251193283725
2024-03-03,1.6231,1.6291,1.412,1.5595,1.586708248873357
2024-03-04,1.5598,1.5911,1.4333,1.4881,1.5811770743998759
2024-03-05,1.4879,1.5862,1.16,1.4011,1.5710761170402234
2024-03-06,1.4004,1.5094,1.36,1.476,1.5657430683590123
2024-03-07,1.4757,1.62,1.4726,1.5818,1.5666437403761082
2024-03-08,1.5822,1.6053,1.4513,1.5463,1.5655026109194035
2024-03-09,1.5468,1.6749,1.5228,1.5869,1.5667028420728208
2024-03-10,1.5873,1.6556,1.5181,1.5567,1.5661417585390638
2024-03-11,1.5564,1.5935,1.4786,1.5725,1.5664984076355317
2024-03-12,1.5731,1.6354,1.4307,1.6008,1.5684224666696778
2024-03-13,1.6003,1.6985,1.5748,1.6222,1.5714389781989058
2024-03-14,1.6223,1.6615,1.4703,1.5666,1.5711675482425145
2024-03-15,1.567,1.5822,1.3397,1.4919,1.5667212403075919
2024-03-16,1.4928,1.7167,1.4848,1.6333,1.5704558034936762
2024-03-17,1.6331,1.6369,1.4389,1.62,1.5732348569517378
2024-03-18,1.62,1.7523,1.5181,1.5232,1.5704282811660633
2024-03-19,1.5207,1.7358,1.43,1.6471,1.574728982769606
2024-03-20,1.6452,1.7803,1.5013,1.7539,1.5847791171976617
2024-03-21,1.7501,1.95,1.7407,1.8228,1.598130282502327
2024-03-22,1.8235,1.8324,1.685,1.7327,1.605678622472167
2024-03-23,1.732,1.7384,1.6423,1.6441,1.6078337701910042
2024-03-24,1.6453,1.7828,1.6201,1.6793,1.611842483362081
2024-03-25,1.6794,1.7471,1.6571,1.7047,1.6170510853965634
2024-03-26,1.7047,1.896,1.6966,1.8853,1.632097813899968
2024-03-27,1.8852,2.1816,1.8555,2.0776,1.6570871058485683
2024-03-28,2.0774,2.164,1.9578,2.0228,1.6776008239995848
2024-03-29,2.0222,2.1473,1.9006,1.9038,1.6902888812616383
2024-03-30,1.9045,1.9561,1.8679,1.8809,1.7009807185711252
2024-03-31,1.8812,1.9257,1.8647,1.9124,1.712839735904888
2024-04-01,1.9091,2.075,1.8032,1.9407,1.7256209676038934
2024-04-02,1.9391,2.0095,1.7263,1.7336,1.7260685307724586
2024-04-03,1.734,1.7673,1.6188,1.6682,1.722822545331245
2024-04-04,1.6667,1.7436,1.6584,1.684,1.7206448951428968
2024-04-05,1.684,1.684,1.5418,1.6081,1.7143319805718806
2024-04-06,1.6096,1.645,1.6013,1.6251,1.7093267435983366
2024-04-07,1.6245,1.6684,1.6173,1.6418,1.7055390057089017
2024-04-08,1.6393,1.7226,1.619,1.7097,1.7057724059129433
2024-04-09,1.7105,1.7185,1.5713,1.5742,1.6983921923779193
2024-04-10,1.5745,1.5841,1.4588,1.5223,1.6885147566604368
2024-04-11,1.5202,1.5603,1.4754,1.4907,1.6774188499283
2024-04-12,1.4908,1.5143,1.0338,1.2402,1.6528941902808694
2024-04-13,1.2402,1.2463,0.8973,1.0644,1.6198841319919932
2024-04-14,1.0629,1.2094,1.0274,1.1997,1.5963149907528984
2024-04-15,1.1961,1.2997,1.1161,1.1711,1.5724636565139691
2024-04-16,1.1724,1.2687,1.1059,1.2221,1.552810914116784
2024-04-17,1.2218,1.3578,1.1784,1.2596,1.536364006864717
2024-04-18,1.2596,1.2874,1.1993,1.253,1.5204694363862736
2024-04-19,1.2534,1.3915,1.1344,1.3333,1.5099706513395459
2024-04-20,1.3327,1.4355,1.3053,1.4279,1.5053671105922168
2024-04-21,1.4271,1.4456,1.3409,1.3717,1.4978694000203439
2024-04-22,1.3716,1.441,1.3544,1.3937,1.4920262871682906
2024-04-23,1.3945,1.4176,1.3109,1.3263,1.482730300071437
2024-04-24,1.3254,1.3495,1.2357,1.2504,1.4696983332750104
2024-04-25,1.2499,1.2653,1.1869,1.2238,1.4559053027768307
2024-04-26,1.2235,1.2296,1.1619,1.1751,1.4401542561810017
2024-04-27,1.1751,1.2313,1.1201,1.21,1.427244348933928
2024-04-28,1.2057,1.26,1.2057,1.2165,1.4154231901914092
2024-04-29,1.2157,1.2306,1.1668,1.1932,1.402958155561488
2024-04-30,1.1911,1.2053,1.072,1.1431,1.3883820849670943
2024-05-01,1.142,1.1651,1.0671,1.1456,1.3747638523513506
2024-05-02,1.1455,1.1605,1.0915,1.1215,1.3605576721262012
2024-05-03,1.1221,1.1459,1.042,1.1118,1.3466042544165515
2024-05-04,1.1126,1.1244,1.0624,1.0908,1.3322555769133755
2024-05-05,1.0908,1.122,1.04,1.0974,1.3190819612491698
2024-05-06,1.0967,1.1519,1.0787,1.093,1.3064004788451775
2024-05-07,1.093,1.1452,1.0757,1.0793,1.293661865333066
2024-05-08,1.0793,1.0831,1.0042,1.0099,1.2777449780136956
2024-05-09,1.0095,1.0404,0.9734,1.026,1.2636239951129167
2024-05-10,1.0273,1.1095,1.0018,1.0075,1.2492573825830255
2024-05-11,1.0075,1.0326,0.99,0.993,1.2348832880282716
2024-05-12,0.993,1.0201,0.9919,1.0037,1.2219156599033703
2024-05-13,1.0043,1.0145,0.9427,0.9684,1.207695355185393
2024-05-14,0.9667,0.9763,0.8847,0.8967,1.1902508757465393
2024-05-15,0.897,1.052,0.8856,0.9922,1.179141724525461
2024-05-16,0.9943,1.087,0.9758,1.0241,1.1704450603131078
2024-05-17,1.0242,1.1093,1.0108,1.0764,1.1651698460901179
2024-05-18,1.0754,1.0902,1.0518,1.0827,1.1605439135465694
2024-05-19,1.0824,1.0909,1.0184,1.0273,1.153069941117528
2024-05-20,1.0277,1.1515,1.0087,1.1473,1.1527462912060105
2024-05-21,1.1471,1.1728,1.1185,1.1402,1.1520425394768354
2024-05-22,1.142,1.1541,1.081,1.1048,1.1493925915120127
2024-05-23,1.1052,1.133,1.01,1.0733,1.1451243745565243
2024-05-24,1.0731,1.0852,1.0317,1.0681,1.140803891643071
2024-05-25,1.0675,1.0828,1.0384,1.0629,1.1364340744952743
2024-05-26,1.0621,1.0703,1.0222,1.0411,1.131086556358344
2024-05-27,1.0416,1.0821,1.0309,1.0739,1.127878824506602
2024-05-28,1.0727,1.0744,1.0133,1.0298,1.122377346722561
2024-05-29,1.0308,1.0465,1.0066,1.0157,1.1163935570920573
2024-05-30,1.015,1.0342,0.98,1.0127,1.1105771354173488
2024-05-31,1.012,1.033,0.9942,1.0222,1.1056198487699849
2024-06-01,1.0226,1.0356,1.0094,1.0226,1.100963065249789
2024-06-02,1.0233,1.038,1.0062,1.0171,1.0962589836838212
2024-06-03,1.0141,1.0556,1.013,1.0393,1.0930640169321857
2024-06-04,1.0393,1.0559,1.0121,1.0544,1.0908952589840326
2024-06-05,1.0542,1.1048,1.0466,1.1041,1.0916359447509023
2024-06-06,1.1041,1.1375,1.0855,1.1131,1.0928399153704766
2024-06-07,1.1135,1.1705,0.9863,1.0808,1.092164567483044
2024-06-08,1.08,1.1705,1.0637,1.1036,1.09280600846951
2024-06-09,1.1039,1.1291,1.0639,1.0934,1.092839326886868
2024-06-10,1.0938,1.0962,1.031,1.0335,1.0895108409447665
2024-06-11,1.0332,1.0431,0.978,0.9925,1.0840692689341553
2024-06-12,0.992,1.0543,0.9565,1.0188,1.0804081582425433
2024-06-13,1.0185,1.0204,0.958,0.9674,1.0740692581271072
2024-06-14,0.9665,1.0024,0.9018,0.9295,1.065960019809431
2024-06-15,0.9302,0.9587,0.926,0.9433,1.0590797235032066
2024-06-16,0.944,0.9694,0.9227,0.9691,1.0540325438254594
2024-06-17,0.9697,0.9845,0.86,0.8912,1.0448988737709783
2024-06-18,0.8915,0.894,0.7608,0.7994,1.0311282499196779
2024-06-19,0.7994,0.8756,0.7909,0.8644,1.0217760603158619
2024-06-20,0.864,0.9239,0.8586,0.8936,1.0145863559956787
2024-06-21,0.8942,0.9517,0.8655,0.9201,1.0092863884336671
2024-06-22,0.9199,0.9244,0.8873,0.8904,1.002617764211436
2024-06-23,0.8905,0.9431,0.8762,0.8805,0.9957678843293546
2024-06-24,0.8807,0.9,0.8055,0.8947,0.9900987429717261
2024-06-25,0.8944,0.9066,0.8691,0.8784,0.9838332911164901
2024-06-26,0.8784,0.8903,0.8204,0.8292,0.9751595369189849
2024-06-27,0.8293,0.8705,0.8253,0.8352,0.967308868980233
2024-06-28,0.8352,0.8434,0.7849,0.7894,0.9573295314912043
2024-06-29,0.7897,0.8046,0.7791,0.7813,0.9474556105739648
2024-06-30,0.7813,0.8236,0.7715,0.8187,0.9402333978822168
2024-07-01,0.8188,0.8345,0.8048,0.8088,0.9328609816428546
2024-07-02,0.8084,0.8351,0.7988,0.824,0.9267547066638274
2024-07-03,0.8241,0.829,0.7665,0.775,0.9182424192099897
2024-07-04,0.7753,0.7828,0.669,0.6737,0.9045254452015091
2024-07-05,0.6734,0.675,0.573,0.6436,0.8898895077574335
2024-07-06,0.6428,0.7004,0.64,0.6934,0.878867937432109
2024-07-07,0.6939,0.6977,0.6369,0.64,0.8654692587905845
2024-07-08,0.64,0.6968,0.613,0.6705,0.8545329628958969
2024-07-09,0.6706,0.7559,0.6666,0.7433,0.8482936377683445
2024-07-10,0.7432,0.7685,0.7195,0.7376,0.8420845646877814
2024-07-11,0.7384,0.7789,0.7271,0.7557,0.8372390461377309
2024-07-12,0.757,0.7717,0.7311,0.7485,0.8322614590453117
2024-07-13,0.7483,0.7678,0.7427,0.758,0.8280959547256637
2024-07-14,0.758,0.8194,0.7577,0.807,0.8269126317521246
2024-07-15,0.8081,0.8501,0.7932,0.8448,0.8279159773726058
2024-07-16,0.844,0.8838,0.8164,0.868,0.8301643868645524
2024-07-17,0.8678,0.8917,0.8383,0.8401,0.8307216993650892
2024-07-18,0.8417,0.8568,0.786,0.8111,0.8296210709298972
2024-07-19,0.8113,0.8642,0.7966,0.8558,0.8310895101920283
2024-07-20,0.8568,0.892,0.8439,0.8507,0.8321895098561296
2024-07-21,0.851,0.8598,0.81,0.8594,0.8337158118665018
2024-07-22,0.8598,0.903,0.8264,0.8313,0.83358030315317
2024-07-23,0.8312,0.8603,0.8002,0.8149,0.8325324799016852
2024-07-24,0.8135,0.8258,0.7645,0.7707,0.8290641469947346
2024-07-25,0.7704,0.7713,0.7101,0.7499,0.8246236390851525
2024-07-26,0.7494,0.7937,0.7467,0.7873,0.8225300661627658
2024-07-27,0.7877,0.7991,0.7633,0.7844,0.8203912588008938
2024-07-28,0.7843,0.7843,0.7435,0.7496,0.8164204063813565
2024-07-29,0.75,0.7848,0.7361,0.74,0.8121338014993198
2024-07-30,0.7401,0.7508,0.6894,0.7084,0.8063151224187584
2024-07-31,0.709,0.7262,0.693,0.7074,0.8007667346680889
2024-08-01,0.7072,0.7174,0.6574,0.6956,0.7948676789105673
2024-08-02,0.6954,0.6996,0.634,0.6372,0.7860237185842545
2024-08-03,0.637,0.6526,0.5938,0.6104,0.7761725606915851
2024-08-04,0.6104,0.6293,0.5622,0.5775,0.7650285376627435
2024-08-05,0.5776,0.5808,0.4623,0.5347,0.7521088545470783
2024-08-06,0.5351,0.6159,0.5349,0.6018,0.743677668425147
2024-08-07,0.6013,0.6499,0.5908,0.6156,0.7364934831433865
2024-08-08,0.6149,0.8725,0.6003,0.8531,0.7430342238709415
2024-08-09,0.8534,0.88,0.8248,0.8562,0.7493819651537285
2024-08-10,0.8565,0.96,0.8485,0.9197,0.7589355144508574
2024-08-11,0.9201,0.9307,0.8581,0.8736,0.7653673219591604
2024-08-12,0.8733,1.118,0.8732,1.0146,0.7793473838960407
2024-08-13,1.0143,1.0168,0.9324,0.9553,0.789216990443728
2024-08-14,0.9558,0.9733,0.8859,0.9344,0.7973606555591298
2024-08-15,0.9341,0.9391,0.8228,0.845,0.8000328612712821
2024-08-16,0.8453,0.8842,0.8058,0.8114,0.800670471494475
2024-08-17,0.8106,0.8513,0.7977,0.8263,0.8021080935540573
2024-08-18,0.8256,0.8569,0.8183,0.8244,0.8033585003436291
2024-08-19,0.8246,0.918,0.8108,0.9014,0.8088578844868116
2024-08-20,0.9014,0.9314,0.8663,0.8707,0.8123267578784478
2024-08-21,0.8705,0.8842,0.833,0.8502,0.8144511593605159
2024-08-22,0.8502,0.8652,0.8326,0.8523,0.8165741921046106
2024-08-23,0.8519,1.0376,0.8511,1.0164,0.8277829035501737
2024-08-24,1.0165,1.0575,0.9859,1.019,0.8385087316108142
2024-08-25,1.0186,1.0228,0.9586,1.0003,0.8475839940150348
2024-08-26,1.001,1.0145,0.9259,0.9275,0.8520666755084899
2024-08-27,0.9276,0.9774,0.8325,0.8482,0.8518497843547157
2024-08-28,0.848,0.8507,0.7623,0.81,0.8495023290293424
2024-08-29,0.8098,0.8549,0.7931,0.8034,0.8469163382181414
2024-08-30,0.8032,0.8383,0.7662,0.8317,0.8460628171132272
2024-08-31,0.832,0.836,0.784,0.7963,0.8432715006981198
2024-09-01,0.796,0.8128,0.7567,0.7609,0.8386510845847689
2024-09-02,0.761,0.7992,0.7415,0.787,0.8357538506936184
2024-09-03,0.787,0.8375,0.7788,0.7854,0.8329293817797071
2024-09-04,0.7854,0.8341,0.7489,0.809,0.8315871250498864
2024-09-05,0.8087,0.8406,0.7793,0.7972,0.8296582682811529
2024-09-06,0.7974,0.8875,0.7889,0.8382,0.8301373946116821
2024-09-07,0.838,0.9182,0.828,0.8912,0.8335625434006226
2024-09-08,0.8911,0.9902,0.8839,0.9393,0.8394936123275684
2024-09-09,0.9398,0.9742,0.8944,0.958,0.8461409213907285
2024-09-10,0.9584,0.9715,0.9086,0.9183,0.8501884981218204
2024-09-11,0.9184,0.9335,0.867,0.93,0.8546653177279138
2024-09-12,0.9299,1.07,0.9274,1.0401,0.8650667962330105
2024-09-13,1.0401,1.0487,0.99,1.0285,0.8742341587521056
2024-09-14,1.0284,1.0692,1.0023,1.0458,0.8838577005193916
2024-09-15,1.0459,1.1404,1.0421,1.0785,0.894775656477919
